,date,avg_price,total_sold,small_sold,large_sold,xl_sold,total_bags_sold,small_bags_sold,large_bags_sold,xl_bags_sold
0,2016-12-25,1.0,30290000.0,9255000.0,10280000.0,542000.0,10210000.0,7710000.0,2417000.0,81101.22
1,2016-12-18,0.96,29580000.0,9394000.0,10340000.0,427900.0,9423000.0,6970000.0,2358000.0,94011.78
2,2016-12-11,0.98,30090000.0,9010000.0,,403000.0,10710000.0,8149000.0,2490000.0,73342.82
3,2016-12-04,1.0,31620000.0,11040000.0,9909000.0,428000.0,10240000.0,7187000.0,2989000.0,65350.63
4,2016-11-27,1.21,22920000.0,7891000.0,7337000.0,,7350000.0,5691000.0,1610000.0,48623.28
5,2016-11-20,1.27,24990000.0,,8034000.0,407600.0,8017000.0,6207000.0,1766000.0,44709.4
6,2016-11-13,1.36,24080000.0,8235000.0,7760000.0,477500.0,7603000.0,5603000.0,1957000.0,43104.31
7,2016-11-06,1.44,22530000.0,7804000.0,,505300.0,7098000.0,5245000.0,1812000.0,40918.74
8,2016-10-30,1.43,21010000.0,7100000.0,6852000.0,453100.0,6604000.0,4655000.0,1883000.0,66283.51
9,2016-10-23,1.34,24750000.0,7580000.0,8105000.0,452400.0,8617000.0,6509000.0,2017000.0,91798.83
10,2016-10-16,1.3,27710000.0,8811000.0,,447300.0,9594000.0,6934000.0,2575000.0,84553.37
11,2016-10-09,1.27,28860000.0,9553000.0,9579000.0,491000.0,9235000.0,6849000.0,2316000.0,69278.75
12,2016-10-02,1.23,29620000.0,9535000.0,9124000.0,490100.0,10470000.0,7409000.0,2981000.0,76030.52
13,2016-09-25,1.22,30310000.0,10550000.0,9256000.0,492600.0,10010000.0,7440000.0,2476000.0,91688.3
14,2016-09-18,1.15,31350000.0,11340000.0,9481000.0,486200.0,10040000.0,7650000.0,2311000.0,79996.5
15,2016-09-11,1.08,34130000.0,12960000.0,,512200.0,10270000.0,8200000.0,2016000.0,55304.06
16,2016-09-04,1.04,37130000.0,14640000.0,11080000.0,,10860000.0,8555000.0,2214000.0,93326.07
17,2016-08-28,1.09,33990000.0,12560000.0,10420000.0,563700.0,10450000.0,8504000.0,1785000.0,159271.47
18,2016-08-21,1.1,33590000.0,12730000.0,9906000.0,609700.0,10350000.0,8749000.0,1446000.0,155008.66
19,2016-08-14,1.12,34390000.0,12350000.0,,749200.0,10400000.0,8480000.0,1813000.0,111938.56
20,2016-08-07,1.15,33820000.0,12200000.0,10730000.0,754500.0,10140000.0,8386000.0,1570000.0,181048.76
21,2016-07-31,1.23,31200000.0,10170000.0,10420000.0,783900.0,9825000.0,8193000.0,1432000.0,199967.39
22,2016-07-24,1.2,32340000.0,10330000.0,10800000.0,948000.0,10260000.0,8316000.0,1561000.0,387400.22
23,2016-07-17,1.15,32660000.0,10320000.0,10630000.0,953600.0,10750000.0,8738000.0,1625000.0,390478.73
24,2016-07-10,1.1,35570000.0,11460000.0,11680000.0,1266000.0,11170000.0,8985000.0,1728000.0,454343.65
25,2016-07-03,1.06,39990000.0,12510000.0,13320000.0,1761000.0,12410000.0,9968000.0,1888000.0,551693.65
26,2016-06-26,1.04,36620000.0,12190000.0,12030000.0,1625000.0,10770000.0,8835000.0,1610000.0,328589.09
27,2016-06-19,1.02,38490000.0,13490000.0,12840000.0,1643000.0,10520000.0,8223000.0,1975000.0,317018.94
28,2016-06-12,1.04,35580000.0,12290000.0,11530000.0,1607000.0,10150000.0,8040000.0,1797000.0,311439.99
29,2016-06-05,0.97,40230000.0,13810000.0,13400000.0,1771000.0,11250000.0,8493000.0,2441000.0,321033.23
30,2016-05-29,0.94,40020000.0,13680000.0,13830000.0,,10920000.0,8086000.0,2658000.0,180120.85
31,2016-05-22,0.93,36960000.0,11710000.0,12980000.0,1641000.0,10620000.0,7836000.0,2563000.0,224991.99
32,2016-05-15,0.89,39910000.0,12450000.0,14440000.0,,11280000.0,7987000.0,3143000.0,146047.01
33,2016-05-08,0.82,46320000.0,14220000.0,17900000.0,1994000.0,12210000.0,8748000.0,3343000.0,120650.09
34,2016-05-01,0.84,42870000.0,13750000.0,15900000.0,1414000.0,11800000.0,8376000.0,3366000.0,62734.87
35,2016-04-24,0.87,39610000.0,12910000.0,14380000.0,1600000.0,10710000.0,7836000.0,2801000.0,75010.64
36,2016-04-17,0.9,37470000.0,,12900000.0,1896000.0,10720000.0,8129000.0,2467000.0,125169.4
37,2016-04-10,0.9,36580000.0,12880000.0,,1666000.0,10500000.0,7809000.0,2613000.0,77737.02
38,2016-04-03,0.94,33670000.0,11320000.0,11510000.0,1732000.0,9103000.0,6830000.0,2213000.0,59188.81
39,2016-03-27,0.94,35930000.0,11250000.0,12750000.0,1880000.0,10060000.0,7745000.0,2228000.0,82386.14
40,2016-03-20,0.93,36340000.0,,13730000.0,1773000.0,9701000.0,7249000.0,2374000.0,77638.79
41,2016-03-13,0.93,36370000.0,11660000.0,13100000.0,1800000.0,9808000.0,7231000.0,2521000.0,55589.0
42,2016-03-06,0.95,35060000.0,11820000.0,12200000.0,1686000.0,9357000.0,7503000.0,1748000.0,106815.12
43,2016-02-28,0.91,36800000.0,11910000.0,13210000.0,1560000.0,10120000.0,7252000.0,2802000.0,69494.92
44,2016-02-21,0.94,32800000.0,,12000000.0,1375000.0,9410000.0,7213000.0,2151000.0,45654.02
45,2016-02-14,0.88,36480000.0,11910000.0,13190000.0,1811000.0,9564000.0,7102000.0,2387000.0,74421.62
46,2016-02-07,0.76,52290000.0,16570000.0,20470000.0,2546000.0,12700000.0,9083000.0,3373000.0,241661.48
47,2016-01-31,0.93,34720000.0,11100000.0,13280000.0,1644000.0,8701000.0,6685000.0,1824000.0,192999.8
48,2016-01-24,0.95,32790000.0,7020000.0,14050000.0,1440000.0,10270000.0,7438000.0,2668000.0,165014.74
49,2016-01-17,0.94,34430000.0,10040000.0,13830000.0,1419000.0,9138000.0,6846000.0,2228000.0,63337.4
50,2016-01-10,0.93,35260000.0,,13230000.0,1283000.0,9314000.0,6735000.0,2528000.0,50874.09
51,2016-01-03,0.86,38140000.0,,16050000.0,1560000.0,8911000.0,6465000.0,,
